sku,name,category,spec
PD-001,2-Ply White Dinner Napkins,paper-disposables,"2-ply, case of 24, 5000 count"
PD-002,3-Ply Dinner Napkins,paper-disposables,"3-ply, case of 12, 3000 count"
PD-003,Premium Cocktail Napkins,paper-disposables,"2-ply, case of 24, 2400 count"
PD-004,Beverage Napkins,paper-disposables,"1-ply, case of 48, 6000 count"
PD-005,Dispenser Napkins (C-Fold),paper-disposables,"single-ply, case of 16, 4800 count"
PD-006,Hand Towel Folded,paper-disposables,"single-ply, case of 12, 4000 count"
PD-007,Premium Hand Towels,paper-disposables,"2-ply, case of 12, 3000 count"
PD-008,Toilet Tissue 2-Roll,paper-disposables,"2-ply, case of 96 rolls"
PD-009,Toilet Tissue Industrial,paper-disposables,"1-ply, case of 100 rolls"
PD-010,Paper Towel V-Fold,paper-disposables,"single-ply, case of 16, 2500 count"
PD-011,Centerfeed Roll,paper-disposables,"2-ply, case of 8, 200 ft/roll"
PD-012,Jumbo Roll Tissue,paper-disposables,"2-ply, case of 12 rolls"
PD-013,Plastic Fork Heavy Duty,disposables-cutlery,"case of 500, white"
PD-014,Plastic Knife Heavy Duty,disposables-cutlery,"case of 500, white"
PD-015,Plastic Spoon Heavy Duty,disposables-cutlery,"case of 500, white"
PD-016,Plastic Spork Combo Pack,disposables-cutlery,"case of 1000, individually wrapped"
PD-017,Stir Sticks 6 inch,disposables-cutlery,"case of 1000, flat"
PD-018,Dessert Cups 6oz,disposables-cups,"case of 24, clear PET"
PD-019,Beverage Cups 12oz,disposables-cups,"case of 24, foam"
PD-020,Beverage Cups 16oz,disposables-cups,"case of 24, paper, poly-lined"
PD-021,Cold Cups 20oz,disposables-cups,"case of 24, clear PET"
PD-022,Lids for 12oz Cups,disposables-cups,"case of 500, flat"
PD-023,Lids for 16oz Cups,disposables-cups,"case of 500, dome"
PD-024,Portion Cups 2oz,disposables-cups,"case of 2500, clear"
PD-025,Portion Cups 4oz,disposables-cups,"case of 1500, clear"
PT-001,Boneless Skinless Chicken Breast,proteins,"fresh, 40 lb case, avg 6oz pieces"
PT-002,Boneless Skinless Chicken Thigh,proteins,"fresh, 40 lb case"
PT-003,Chicken Leg Quarters,proteins,"fresh, 40 lb case"
PT-004,Ground Beef 80/20,proteins,"fresh, 40 lb case, 1lb chubs"
PT-005,Ground Beef 90/10,proteins,"fresh, 40 lb case, 1lb chubs"
PT-006,Ground Turkey,proteins,"fresh, 40 lb case"
PT-007,Beef Sirloin Tip Roast,proteins,"fresh, 40 lb case"
PT-008,Beef Ribeye Steaks,proteins,"fresh, 20 lb case, avg 12oz"
PT-009,Beef Chuck Roast,proteins,"fresh, 40 lb case"
PT-010,Pork Loin Roast,proteins,"fresh, 40 lb case"
PT-011,Pork Baby Back Ribs,proteins,"fresh, cryovac, 40 lb case"
PT-012,Pork Shoulder Boston Butt,proteins,"fresh, 40 lb case"
PT-013,Salmon Fillets Atlantic,proteins,"frozen, 20 lb case, 6oz portions"
PT-014,Tilapia Fillets,proteins,"frozen, 20 lb case, skinless"
PT-015,Shrimp 16/20 Peeled Deveined,proteins,"frozen, 20 lb case"
PT-016,Shrimp 21/25 Peeled Deveined,proteins,"frozen, 20 lb case"
PT-017,Shrimp 41/50 Peeled,proteins,"frozen, 20 lb case"
PT-018,Turkey Breast Boneless,proteins,"fresh, 40 lb case"
PT-019,Hot Dogs Beef Franks,proteins,"4/1 lb, case of 12"
PT-020,Smoked Sausage,proteins,"3/1 lb, case of 12"
PR-001,Romaine Lettuce Hearts,produce,"case of 24, 3-leaf hearts"
PR-002,Green Leaf Lettuce,produce,"case of 24, 24ct"
PR-003,Iceberg Lettuce,produce,"case of 24, 24ct"
PR-004,Red Tomatoes,produce,"case of 25 lbs, vine-ripened"
PR-005,Roma Tomatoes,produce,"case of 25 lbs"
PR-006,Cherry Tomatoes,produce,"case of 12, 1 pint each"
PR-007,Yellow Onions,produce,"50 lb bag"
PR-008,Red Onions,produce,"50 lb bag"
PR-009,White Onions,produce,"25 lb bag"
PR-010,Garlic,produce,"30 lb bag, medium cloves"
PR-011,Russet Potatoes,produce,"50 lb bag, #1 Grade"
PR-012,Red Potatoes,produce,"50 lb bag"
PR-013,Yukon Gold Potatoes,produce,"50 lb bag"
PR-014,Baby Carrots,produce,"case of 24, 1 lb bags"
PR-015,Whole Carrots,produce,"50 lb bag"
PR-016,Celery,produce,"case of 24, 24 bunches"
PR-017,Green Bell Peppers,produce,"case of 25 lbs"
PR-018,Red Bell Peppers,produce,"case of 25 lbs"
PR-019,Broccoli Crowns,produce,"case of 14, 18oz avg"
PR-020,Fresh Spinach,produce,"case of 24, 1 lb bags"
PR-021,Green Cabbage,produce,"case of 50 lbs"
PR-022,Cucumber,produce,"case of 24, 18ct"
PR-023,Avocados,produce,"case of 40, size 48"
PR-024,Lemons,produce,"case of 40, size 113"
PR-025,Limes,produce,"case of 40, size 150"
PR-026,Strawberries,produce,"case of 12, 1 lb clamshell"
PR-027,Blueberries,produce,"case of 12, 6 oz clamshell"
PR-028,Mushrooms White Button,produce,"case of 10, 10lb"
PR-029,Mushrooms Cremini,produce,"case of 10, 10lb"
PR-030,Sweet Potatoes,produce,"40 lb bag"
