name,category,reliability_score,contact_email
Sysco Supplies Direct,paper-disposables,0.95,suppliesdirect@sysco.com
Sysco Disposables Co,paper-disposables,0.88,disposablescorp@sysco.com
Premium Paper Supply,disposables-cutlery,0.92,orders@premiumpaper.com
Quick Supply Co,paper-disposables,0.85,quick@supplyco.com
Fresh Proteins International,proteins,0.97,freshproteins@fpintl.com
American Meat Packers,proteins,0.93,orders@americanmeatpackers.com
Prime Cuts Inc,proteins,0.89,sales@primecutsinc.com
Valley Fresh Produce,produce,0.94,valleyfresh@vfp.com
Green Harvest Farms,produce,0.91,harvest@greenfarms.com
Pacific Produce Partners,produce,0.87,info@pacificproduce.com
Golden State Produce,produce,0.83,golden@goldenstateproduce.com
Mega Food Distributors,dry-goods,0.96,orders@megadist.com
Wholesale Pantry Supply,dry-goods,0.90,pantry@wholesalepantry.com
Continental Food Service,dry-goods,0.88,continental@cfs.com
National Dry Goods Co,dry-goods,0.86,ndg@nationaldrygoods.com
Chef Choice Equipment,kitchen-equipment,0.98,orders@chefchoice.com
Restaurant Supply Direct,kitchen-equipment,0.94,supply@restaurantsdirect.com
Pro Kitchen Outfitters,kitchen-equipment,0.91,outfitters@prokitchen.com
BioClean Sanitation,cleaning,0.93,clean@bioclean.com
FreshStart Supplies,cleaning,0.90,fresh@freshstartsupplies.com
GreenClean Eco Supply,cleaning,0.87,eco@greenclean.com
SafeGuard Products,cleaning,0.85,safety@safeguard.com
PackRight Solutions,packaging,0.92,orders@packright.com
EcoPak Industries,packaging,0.89,ecopak@ecopak.com
ClearPack Supply,packaging,0.86,clearpack@clearsupply.com
Coffee Bean Direct,beverages,0.95,orders@coffeebeandirect.com
Brew Masters Supply,beverages,0.90,brew@brewmasters.com
Chai Supply Co,beverages,0.88,chai@chaisupply.com
Uniform Express,uniforms,0.93,uniforms@uniflexpress.com
Safety First Products,uniforms,0.91,safety@safetyfirstproducts.com
Chef Gear Direct,uniforms,0.89,chefgear@chefdirect.com
Lab Supply Co,safety-equipment,0.94,labsupply@labsupply.com
MedPro Safety,safety-equipment,0.92,medpro@medsafety.com
Baking Pro Supplies,baking,0.96,bakingpro@bakingsupplies.com
KitchenArt Supply,beverages,0.93,kitchenart@kitchenartsupply.com
